0,112,184,Blue
1,103,178,Blue
0,108,183,Blue
0,107,179,Blue
0,110,179,Blue
0,106,175,Blue
0,104,173,Blue
0,98,167,Blue
0,102,174,Blue
0,112,180,Blue
0,100,169,Blue
0,98,167,Blue
0,100,169,Blue
0,100,169,Blue
1,102,170,Blue
1,100,169,Blue
1,98,170,Blue
0,99,173,Blue
0,96,167,Blue
0,99,169,Blue
0,101,169,Blue
0,100,169,Blue
0,100,169,Blue
1,101,170,Blue
0,100,169,Blue
0,98,170,Blue
0,100,173,Blue
0,97,172,Blue
0,101,170,Blue
1,104,175,Blue
0,117,187,Blue
0,106,173,Blue
1,119,188,Blue
0,109,181,Blue
0,96,165,Blue
1,117,190,Blue
0,104,179,Blue
4,149,223,Blue
5,148,218,Blue
214,232,11,Yellow
209,231,11,Yellow
217,235,12,Yellow
211,233,12,Yellow
204,232,10,Yellow
201,230,10,Yellow
208,233,12,Yellow
215,235,13,Yellow
215,234,12,Yellow
220,238,13,Yellow
216,236,13,Yellow
216,237,13,Yellow
208,229,10,Yellow
204,228,9,Yellow
204,231,10,Yellow
200,229,9,Yellow
206,230,10,Yellow
219,239,14,Yellow
220,240,15,Yellow
220,240,15,Yellow
213,233,12,Yellow
208,228,9,Yellow
216,236,13,Yellow
214,233,12,Yellow
213,232,10,Yellow
209,230,10,Yellow
204,229,10,Yellow
210,236,13,Yellow
203,231,10,Yellow
219,237,13,Yellow
220,238,14,Yellow
209,231,11,Yellow
211,231,11,Yellow
232,246,20,Yellow
218,235,12,Yellow
210,234,13,Yellow
205,238,14,Yellow
194,227,8,Yellow
254,140,93,Orange
255,149,98,Orange
255,143,95,Orange
255,173,129,Orange
255,173,128,Orange
237,149,102,Orange
255,145,92,Orange
255,130,88,Orange
255,127,87,Orange
255,157,98,Orange
255,160,105,Orange
255,157,102,Orange
255,154,96,Orange
255,153,97,Orange
255,112,78,Orange
254,103,74,Orange
255,104,76,Orange
255,123,91,Orange
227,75,41,Orange
243,147,111,Orange
253,160,123,Orange
255,146,106,Orange
255,152,132,Orange
253,131,106,Orange
164,238,59,Yellow
134,193,41,Yellow
255,149,105,Orange
255,167,129,Orange
255,167,117,Orange
255,181,131,Orange
255,164,118,Orange
255,180,137,Orange
255,172,133,Orange
255,185,144,Orange
255,170,124,Orange
255,154,110,Orange
255,160,109,Orange
255,158,107,Orange
255,139,97,Orange
255,166,128,Orange
255,159,115,Orange
255,160,115,Orange
255,179,136,Orange
255,182,137,Orange
255,170,128,Orange
255,172,131,Orange
255,160,115,Orange
255,166,119,Orange
254,116,100,Red
255,110,96,Red
255,121,104,Red
255,123,104,Red
255,138,118,Red
255,111,93,Red
254,105,91,Red
253,103,89,Red
251,105,92,Red
254,112,97,Red
255,120,107,Red
254,114,96,Red
255,127,108,Red
255,122,102,Red
12,247,63,Green
10,254,71,Green
17,255,89,Green
13,244,50,Green
12,236,40,Green
18,250,62,Green
24,255,73,Green
29,255,85,Green
23,217,255,Blue
21,217,255,Blue
19,202,255,Blue
26,223,255,Blue
19,210,255,Blue
18,213,255,Blue
16,194,255,Blue
19,217,255,Blue
19,217,255,Blue
16,210,255,Blue
19,228,255,Blue
19,222,255,Blue
19,210,255,Blue
19,209,255,Blue
14,192,255,Blue
19,212,255,Blue
14,207,255,Blue
18,215,255,Blue
21,215,255,Blue
26,254,62,Green
33,254,74,Green
21,249,87,Green
26,254,79,Green
